ID,ISBN,Checkout Date,Return Date,Member Id
1,365092781,01/03/2016,25/03/2015,5097
1,365092781,14/07/2017,05/08/2017,8042
2,167047257,07/03/2019,,1008
3,727005531,10/11/2020,,7632
4,129051572,24/12/2019,17/01/2020,1111
5,171603906,16/09/2020,,5599
8,388942315,07/04/2013,01/05/2013,2954
13,796582284,30/10/2015,16/11/2015,4490
13,796582284,27/05/2018,,4967
17,471345087,02/02/2008,04/08/2008,3277
20,292047874,08/07/2012,09/08/2012,4113
20,292047874,04/02/2013,15/04/2013,6734
20,292047874,29/11/2020,,1012
22,429200486,10/05/2010,12/09/2010,7878
24,343409948,18/02/2020,,1136
32,292047874,24/08/2020,,7785
33,365092781,09/12/2019,,9329
36,748953403,20/07/2008,29/12/2008,3434
36,748953403,14/03/2010,02/04/2010,7153
38,346785473,11/01/2020,,8026
39,732553172,05/05/2020,,1053
40,167047257,28/04/2017,,6049
43,796582284,16/02/2014,18/04/2014,9919
47,429200486,06/08/2011,10/09/2011,2121
